local, ,    ,    ,
, PSNR, SSIM, SAM, Time(sec)
Attention_5,36.79302,0.95401496,0.13274413,0.6869358
Attention_7,37.336792,0.9597627,0.12063195,1.0054507
Attention_9,37.66434,0.9608657,0.118991554,1.2927202
DeepSSPrior_5,37.64461,0.9539129,0.12499484,0.5387505
DeepSSPrior_7,38.323956,0.95812833,0.12080643,0.76863825
DeepSSPrior_9,38.79942,0.961373,0.11416656,1.0166565
HSCNN,37.655663,0.95320666,0.12637234,0.81975126
HyperReconNet,36.57566,0.9447416,0.1454834,2.267167

colab, ,    ,    ,
Attention_5,35.048225,0.93956935,0.09676524,3.3031375
Attention_7,35.335842,0.9437935,0.093378745,4.6180696
Attention_9,35.697884,0.9450425,0.09106312,6.180046
DeepSSPrior_5,35.52764,0.9354169,0.09536647,2.8968072
DeepSSPrior_7,36.251884,0.9420126,0.089508355,4.0195255
DeepSSPrior_9,36.49972,0.94464433,0.0886162,5.195705
HSCNN_9,35.640656,0.93502045,0.09298779,3.365654
HyperReconNet,34.294765,0.92421806,0.10673859,15.814998
